,year,day,complete,updated_on
0,2019,1,1,2026-01-27 10:26:34.227595
1,2019,2,1,2026-01-27 10:26:34.227595
2,2019,3,1,2026-01-27 10:26:34.227595
3,2019,4,0,2026-01-27 10:26:34.227595
4,2019,5,0,2026-01-27 10:26:34.227595
5,2019,6,0,2026-01-27 10:26:34.227595
6,2019,7,0,2026-01-27 10:26:34.227595
7,2019,8,0,2026-01-27 10:26:34.227595
8,2019,9,0,2026-01-27 10:26:34.227595
9,2019,10,0,2026-01-27 10:26:34.227595
10,2019,11,0,2026-01-27 10:26:34.227595
11,2019,12,0,2026-01-27 10:26:34.227595
12,2019,13,0,2026-01-27 10:26:34.227595
13,2019,14,0,2026-01-27 10:26:34.227595
14,2019,15,0,2026-01-27 10:26:34.227595
15,2019,16,0,2026-01-27 10:26:34.227595
16,2019,17,0,2026-01-27 10:26:34.227595
17,2019,18,0,2026-01-27 10:26:34.227595
18,2019,19,0,2026-01-27 10:26:34.227595
19,2019,20,0,2026-01-27 10:26:34.227595
20,2019,21,0,2026-01-27 10:26:34.227595
21,2019,22,0,2026-01-27 10:26:34.227595
22,2019,23,0,2026-01-27 10:26:34.227595
23,2019,24,0,2026-01-27 10:26:34.227595
24,2020,1,1,2026-01-27 10:26:34.227595
25,2020,2,1,2026-01-27 10:26:34.227595
26,2020,3,1,2026-01-27 10:26:34.227595
27,2020,4,0,2026-01-27 10:26:34.227595
28,2020,5,0,2026-01-27 10:26:34.227595
29,2020,6,0,2026-01-27 10:26:34.227595
30,2020,7,0,2026-01-27 10:26:34.227595
31,2020,8,0,2026-01-27 10:26:34.227595
32,2020,9,0,2026-01-27 10:26:34.227595
33,2020,10,0,2026-01-27 10:26:34.227595
34,2020,11,0,2026-01-27 10:26:34.227595
35,2020,12,0,2026-01-27 10:26:34.227595
36,2020,13,0,2026-01-27 10:26:34.227595
37,2020,14,0,2026-01-27 10:26:34.227595
38,2020,15,0,2026-01-27 10:26:34.227595
39,2020,16,0,2026-01-27 10:26:34.227595
40,2020,17,0,2026-01-27 10:26:34.227595
41,2020,18,0,2026-01-27 10:26:34.227595
42,2020,19,0,2026-01-27 10:26:34.227595
43,2020,20,0,2026-01-27 10:26:34.227595
44,2020,21,0,2026-01-27 10:26:34.227595
